N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	3286	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	3358	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	3372	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	2680	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2388	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1728	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	2455	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1672	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	1798	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1766	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2056	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	2170	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2318	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	1924	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1556	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1490	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	2246	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2030	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	1892	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1196	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1660	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	2448	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2234	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	1754	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1810	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1534	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	2106	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1528	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	1788	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1416	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1436	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	2158	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2200	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	1712	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1668	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1740	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	1930	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1646	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	1804	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1378	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1490	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	2350	400002
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2128	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	1760	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1756	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1466	400000
