N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	6	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	2	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	10	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	6	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	6	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	0	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	14	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	8	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	0	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	14	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	4	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	10	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	4	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	26	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	10	400002
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	26	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	10	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	10	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	14	400001
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	44	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	10	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	2	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	28	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	48	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	6	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	40	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	4	18	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	3	0	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	3	6	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	3	22	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	2	18	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	2	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	2	22	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	2	14	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	4	400002
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	0	400002
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	0	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	20	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	0	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	34	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	8	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	58	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	56	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	36	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	56	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	164	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	60	400002
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	42	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	84	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	18	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	30	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	96	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	102	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	80	400002
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	28	400002
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	32	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	58	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	74	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	50	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	44	400002
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	226	400000
