N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1388	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	1130	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	902	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	838	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	492	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	850	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	618	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	754	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	576	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	506	400002
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	344	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	758	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	634	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	610	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	518	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	514	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	616	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	644	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	282	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	428	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	268	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	850	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	678	400001
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	516	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	400	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	290	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	578	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	482	400001
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	376	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	602	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	440	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	1	472	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	444	400001
