N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	360	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	74	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	426	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	770	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	780	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	892	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	952	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	880	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1180	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1000	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1102	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1050	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1026	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1000	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1096	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1090	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1154	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	746	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	968	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1182	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1130	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1220	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1072	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1036	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	934	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1002	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1222	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1052	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1122	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1062	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	940	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1090	400002
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1068	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1126	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1054	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	944	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1320	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1102	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1010	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1034	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	810	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	1202	400000
