N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
0	1	3.00000030000003E-05	0	15	0	1000000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000000	5	71	488
2	1	3.00000030000003E-05	0	15	0	1000000	5	83	498
3	1	3.00000030000003E-05	0	15	0	1000000	5	80	501
4	1	3.00000030000003E-05	0	15	0	1000000	5	82	477
5	1	3.00000030000003E-05	0	15	0	1000000	5	76	460
6	1	3.00000030000003E-05	0	15	0	1000000	5	88	468
7	1	3.00000030000003E-05	0	15	0	1000000	5	83	531
8	1	3.00000030000003E-05	0	15	0	1000000	5	84	458
9	1	3.00000030000003E-05	0	15	0	1000000	5	70	461
0	1	3.00000030000003E-05	0	15	0	1000000	5	90	482
1	1	3.00000030000003E-05	0	15	0	1000000	5	72	521
2	1	3.00000030000003E-05	0	15	0	1000000	5	65	492
3	1	3.00000030000003E-05	0	15	0	1000000	5	83	502
4	1	3.00000030000003E-05	0	15	0	1000000	5	72	462
5	1	3.00000030000003E-05	0	15	0	1000000	5	84	473
6	1	3.00000030000003E-05	0	15	0	1000000	5	77	477
7	1	3.00000030000003E-05	0	15	0	1000000	5	78	476
8	1	3.00000030000003E-05	0	15	0	1000000	5	80	472
9	1	3.00000030000003E-05	0	15	0	1000000	5	92	510
0	1	3.00000030000003E-05	0	15	0	1000000	5	87	513
1	1	3.00000030000003E-05	0	15	0	1000000	5	77	524
2	1	3.00000030000003E-05	0	15	0	1000000	5	81	494
3	1	3.00000030000003E-05	0	15	0	1000000	5	82	466
4	1	3.00000030000003E-05	0	15	0	1000000	5	82	491
5	1	3.00000030000003E-05	0	15	0	1000000	5	73	483
6	1	3.00000030000003E-05	0	15	0	1000000	5	96	500
7	1	3.00000030000003E-05	0	15	0	1000000	5	83	545
8	1	3.00000030000003E-05	0	15	0	1000000	5	76	474
9	1	3.00000030000003E-05	0	15	0	1000000	5	59	532
0	1	3.00000030000003E-05	0	15	0	1000000	5	76	457
1	1	3.00000030000003E-05	0	15	0	1000000	5	71	460
2	1	3.00000030000003E-05	0	15	0	1000000	5	67	490
3	1	3.00000030000003E-05	0	15	0	1000000	5	90	499
4	1	3.00000030000003E-05	0	15	0	1000000	5	94	515
5	1	3.00000030000003E-05	0	15	0	1000000	5	74	502
6	1	3.00000030000003E-05	0	15	0	1000000	5	75	457
7	1	3.00000030000003E-05	0	15	0	1000000	5	86	525
8	1	3.00000030000003E-05	0	15	0	1000000	5	87	522
9	1	3.00000030000003E-05	0	15	0	1000000	5	72	480
0	1	3.00000030000003E-05	0	15	0	1000000	5	89	480
1	1	3.00000030000003E-05	0	15	0	1000000	5	74	453
2	1	3.00000030000003E-05	0	15	0	1000000	5	73	500
3	1	3.00000030000003E-05	0	15	0	1000000	5	81	492
4	1	3.00000030000003E-05	0	15	0	1000000	5	83	438
5	1	3.00000030000003E-05	0	15	0	1000000	5	96	496
6	1	3.00000030000003E-05	0	15	0	1000000	5	108	468
7	1	3.00000030000003E-05	0	15	0	1000000	5	77	487
8	1	3.00000030000003E-05	0	15	0	1000000	5	75	484
9	1	3.00000030000003E-05	0	15	0	1000000	5	89	462
0	1	3.00000030000003E-05	0	15	0	1000000	5	84	472
1	1	3.00000030000003E-05	0	15	0	1000000	5	80	477
2	1	3.00000030000003E-05	0	15	0	1000000	5	90	490
3	1	3.00000030000003E-05	0	15	0	1000000	5	94	492
4	1	3.00000030000003E-05	0	15	0	1000000	5	92	506
5	1	3.00000030000003E-05	0	15	0	1000000	5	79	443
6	1	3.00000030000003E-05	0	15	0	1000000	5	69	501
7	1	3.00000030000003E-05	0	15	0	1000000	5	81	512
8	1	3.00000030000003E-05	0	15	0	1000000	5	82	478
9	1	3.00000030000003E-05	0	15	0	1000000	5	88	482
0	1	3.00000030000003E-05	0	15	0	1000000	5	82	503
1	1	3.00000030000003E-05	0	15	0	1000000	5	92	472
2	1	3.00000030000003E-05	0	15	0	1000000	5	81	483
3	1	3.00000030000003E-05	0	15	0	1000000	5	86	463
4	1	3.00000030000003E-05	0	15	0	1000000	5	93	518
5	1	3.00000030000003E-05	0	15	0	1000000	5	90	488
6	1	3.00000030000003E-05	0	15	0	1000000	5	85	481
7	1	3.00000030000003E-05	0	15	0	1000000	5	74	476
8	1	3.00000030000003E-05	0	15	0	1000000	5	80	499
9	1	3.00000030000003E-05	0	15	0	1000000	5	80	453
