N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
0	6,25	6,25	0	25	83339170	6000	0	0	800
1	6,25	6,25	0	25	83339170	6000	0	0	801
2	6,25	6,25	0	25	83339170	6000	0	0	800
3	6,25	6,25	0	25	83339170	6000	0	0	800
4	6,25	6,25	0	25	83339170	6000	0	0	800
0	6,25	6,25	0	25	83339170	6000	0	0	802
1	6,25	6,25	0	25	83339170	6000	0	0	801
2	6,25	6,25	0	25	83339170	6000	0	0	800
3	6,25	6,25	0	25	83339170	6000	0	0	800
4	6,25	6,25	0	25	83339170	6000	0	0	800
0	6,25	6,25	0	25	83339170	6000	0	0	802
1	6,25	6,25	0	25	83339170	6000	0	0	800
2	6,25	6,25	0	25	83339170	6000	0	0	800
3	6,25	6,25	0	25	83339170	6000	0	0	800
4	6,25	6,25	0	25	83339170	6000	0	0	800
0	6,25	6,25	0	25	83339170	6000	0	0	800
1	6,25	6,25	0	25	83339170	6000	0	0	800
2	6,25	6,25	0	25	83339170	6000	0	0	800
3	6,25	6,25	0	25	83339170	6000	0	0	800
4	6,25	6,25	0	25	83339170	6000	0	0	802
0	6,25	6,25	0	25	83339170	6000	0	0	801
1	6,25	6,25	0	25	83339170	6000	0	0	800
2	6,25	6,25	0	25	83339170	6000	0	0	802
3	6,25	6,25	0	25	83339170	6000	0	0	800
4	6,25	6,25	0	25	83339170	6000	0	0	801
0	6,25	6,25	0	25	83339170	6000	0	2	800
1	6,25	6,25	0	25	83339170	6000	0	0	800
2	6,25	6,25	0	25	83339170	6000	0	0	800
3	6,25	6,25	0	25	83339170	6000	0	0	800
4	6,25	6,25	0	25	83339170	6000	0	0	800
0	6,25	6,25	0	25	83339172,5	6000	0	0	802
1	6,25	6,25	0	25	83339172,5	6000	0	0	802
2	6,25	6,25	0	25	83339172,5	6000	0	0	802
3	6,25	6,25	0	25	83339172,5	6000	0	0	800
4	6,25	6,25	0	25	83339172,5	6000	0	0	800
0	6,25	6,25	0	25	83339172,5	6000	0	0	800
1	6,25	6,25	0	25	83339172,5	6000	0	0	802
2	6,25	6,25	0	25	83339172,5	6000	0	0	801
3	6,25	6,25	0	25	83339172,5	6000	0	0	801
4	6,25	6,25	0	25	83339172,5	6000	0	0	800
0	6,25	6,25	0	25	83339175	6000	0	0	800
1	6,25	6,25	0	25	83339175	6000	0	0	801
2	6,25	6,25	0	25	83339175	6000	0	0	800
3	6,25	6,25	0	25	83339175	6000	0	0	800
4	6,25	6,25	0	25	83339175	6000	0	0	800
0	6,25	6,25	0	25	83339177,5	6000	0	0	800
1	6,25	6,25	0	25	83339177,5	6000	0	0	800
2	6,25	6,25	0	25	83339177,5	6000	0	0	800
3	6,25	6,25	0	25	83339177,5	6000	0	0	800
4	6,25	6,25	0	25	83339177,5	6000	0	0	800
0	6,25	6,25	0	25	83339177,5	6000	0	0	800
1	6,25	6,25	0	25	83339177,5	6000	0	0	800
2	6,25	6,25	0	25	83339177,5	6000	0	0	802
3	6,25	6,25	0	25	83339177,5	6000	0	0	800
4	6,25	6,25	0	25	83339177,5	6000	0	0	800
0	6,25	6,25	0	25	83339180	6000	0	0	800
1	6,25	6,25	0	25	83339180	6000	0	0	800
2	6,25	6,25	0	25	83339180	6000	0	0	800
3	6,25	6,25	0	25	83339180	6000	0	0	802
4	6,25	6,25	0	25	83339180	6000	0	0	800
0	6,25	6,25	0	25	83339182,5	6000	0	0	800
1	6,25	6,25	0	25	83339182,5	6000	0	0	800
2	6,25	6,25	0	25	83339182,5	6000	0	0	800
3	6,25	6,25	0	25	83339182,5	6000	0	0	800
4	6,25	6,25	0	25	83339182,5	6000	0	0	800
0	6,25	6,25	0	25	83339185	6000	0	0	800
1	6,25	6,25	0	25	83339185	6000	0	0	802
2	6,25	6,25	0	25	83339185	6000	0	0	800
3	6,25	6,25	0	25	83339185	6000	0	0	800
4	6,25	6,25	0	25	83339185	6000	0	0	800
0	6,25	6,25	0	25	83339187,5	6000	0	0	800
1	6,25	6,25	0	25	83339187,5	6000	0	0	802
2	6,25	6,25	0	25	83339187,5	6000	0	0	800
3	6,25	6,25	0	25	83339187,5	6000	0	0	800
4	6,25	6,25	0	25	83339187,5	6000	0	0	800
0	6,25	6,25	0	25	83339190	6000	0	0	800
1	6,25	6,25	0	25	83339190	6000	0	0	801
2	6,25	6,25	0	25	83339190	6000	0	0	800
3	6,25	6,25	0	25	83339190	6000	0	0	800
4	6,25	6,25	0	25	83339190	6000	0	0	800
0	6,25	6,25	0	25	83339192,5	6000	0	0	800
1	6,25	6,25	0	25	83339192,5	6000	0	0	800
2	6,25	6,25	0	25	83339192,5	6000	0	0	800
3	6,25	6,25	0	25	83339192,5	6000	0	0	800
4	6,25	6,25	0	25	83339192,5	6000	0	0	800
0	6,25	6,25	0	25	83339195	6000	0	0	801
1	6,25	6,25	0	25	83339195	6000	0	0	800
2	6,25	6,25	0	25	83339195	6000	0	0	800
3	6,25	6,25	0	25	83339195	6000	0	0	801
4	6,25	6,25	0	25	83339195	6000	0	0	800
0	6,25	6,25	0	25	83339197,5	6000	0	0	802
1	6,25	6,25	0	25	83339197,5	6000	0	0	800
2	6,25	6,25	0	25	83339197,5	6000	0	16	801
3	6,25	6,25	0	25	83339197,5	6000	0	0	800
4	6,25	6,25	0	25	83339197,5	6000	0	0	800
0	6,25	6,25	0	25	83339200	6000	0	0	800
1	6,25	6,25	0	25	83339200	6000	0	0	800
2	6,25	6,25	0	25	83339200	6000	0	0	801
3	6,25	6,25	0	25	83339200	6000	0	0	800
4	6,25	6,25	0	25	83339200	6000	0	0	800
0	6,25	6,25	0	25	83339200	6000	0	0	800
1	6,25	6,25	0	25	83339200	6000	0	0	800
2	6,25	6,25	0	25	83339200	6000	0	0	802
3	6,25	6,25	0	25	83339200	6000	0	0	802
4	6,25	6,25	0	25	83339200	6000	0	0	800
0	6,25	6,25	0	25	83339192,5	6000	0	0	800
1	6,25	6,25	0	25	83339192,5	6000	0	0	800
2	6,25	6,25	0	25	83339192,5	6000	0	0	800
3	6,25	6,25	0	25	83339192,5	6000	0	0	800
4	6,25	6,25	0	25	83339192,5	6000	0	0	801
0	6,25	6,25	0	25	83339185	6000	0	0	800
1	6,25	6,25	0	25	83339185	6000	0	0	800
2	6,25	6,25	0	25	83339185	6000	0	0	800
3	6,25	6,25	0	25	83339185	6000	0	0	800
4	6,25	6,25	0	25	83339185	6000	0	0	800
0	6,25	6,25	0	25	83339185	6000	0	0	800
1	6,25	6,25	0	25	83339185	6000	0	0	801
2	6,25	6,25	0	25	83339185	6000	0	0	800
3	6,25	6,25	0	25	83339185	6000	0	0	800
4	6,25	6,25	0	25	83339185	6000	0	0	800
0	6,25	6,25	0	25	83339185	6000	0	0	801
1	6,25	6,25	0	25	83339185	6000	0	0	800
2	6,25	6,25	0	25	83339185	6000	0	0	800
3	6,25	6,25	0	25	83339185	6000	0	0	802
4	6,25	6,25	0	25	83339185	6000	0	0	800
0	6,25	6,25	0	25	83339185	6000	0	0	800
1	6,25	6,25	0	25	83339185	6000	0	0	801
2	6,25	6,25	0	25	83339185	6000	0	0	800
3	6,25	6,25	0	25	83339185	6000	0	0	801
4	6,25	6,25	0	25	83339185	6000	0	0	800
