N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	298	800002
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	82
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	82
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	82
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	82
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
0	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	82
1	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	81
2	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332000	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	81
1	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	81
2	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	82
1	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	82
3	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	81
4	6,25	6,00000240000096E-05	0	25	8332002,5	600	0	0	81
0	6,25	6,00000240000096E-05	0	25	8332005	600	0	0	81
1	6,25	6,00000240000096E-05	0	25	8332005	600	0	0	80
2	6,25	6,00000240000096E-05	0	25	8332005	600	0	0	80
3	6,25	6,00000240000096E-05	0	25	8332005	600	0	0	80
4	6,25	6,00000240000096E-05	0	25	8332005	600	0	0	80
0	6,25	6,00000240000096E-05	0	25	8332005	600	0	0	80
1	6,25	6,00000240000096E-05	0	25	8332005	600	0	0	80
