N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	16	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	22	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	6	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	48	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	44	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	18	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	18	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	14	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	8	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	0	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	16	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	4	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	10	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	6	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	10	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	0	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	60	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	16	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	60	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	8	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	0	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	22	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	0	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	6	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	18	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	12	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	32	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	8	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	22	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	64	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	20	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	36	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	0	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	24	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	8	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	8	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	18	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	28	400002
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	36	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	10	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	14	400002
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	32	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	28	400001
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	62	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	12	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	2	400002
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	24	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	30	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	24	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	22	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	18	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	4	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	52	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	6	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	8	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	28	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	20	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	3000000	0	18	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	8	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	20	40001
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	4	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	2	40000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	6	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40002
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	38	40000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	4	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	2	40000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	44	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40002
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	2	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	2	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40002
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	8	40000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	2	40001
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	8	40001
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	4	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40001
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
4	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40002
0	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	10	40000
1	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
2	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40002
3	0,00353781928819076	6,00000240000096E-05	30	200	13333415	300000	0	0	40000
