N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400002
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400001
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	82	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	10	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	6	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	6	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	18	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	38	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	16	400001
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	10	400002
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	8	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	24	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	26	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400001
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	16	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	86	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	12	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	12	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	4	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	26	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	6	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	50	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	54	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	10	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	8	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	64	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	16	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400001
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	16	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	6	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	6	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	6	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	12	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	46	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	4	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	16	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	20	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	34	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400002
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	18	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	16	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	28	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	14	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	12	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	10	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	12	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	76	400002
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	20	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	14	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	8	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	4	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	48	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	26	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	8	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	12	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	4	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	18	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	46	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	26	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	32	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	32	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	40	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	4	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	8	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	20	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	10	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	68	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	0	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	16	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	14	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	20	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	52	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	5	16	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	5	6	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	5	14	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	14	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	8	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	24	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	14	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	22	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	12	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	20	400001
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	7	26	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	7	28	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	8	20	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	8	14	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	8	2	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	9	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	9	24	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	9	16	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	9	20	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	9	26	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	9	12	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	9	8	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	10	16	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	10	6	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	10	14	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	10	50	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	10	4	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	11	4	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	11	0	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	11	18	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	11	10	400002
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	12	8	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	12	24	400002
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	12	28	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	12	0	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	12	4	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	13	46	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	13	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	13	12	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	13	24	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	13	36	400002
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	13	58	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	13	8	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	14	2	400002
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	14	22	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	14	22	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	14	4	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	15	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	15	4	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	15	12	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	16	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	16	28	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	16	22	400002
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	16	0	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	17	18	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	17	32	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	17	4	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	18	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	18	0	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	18	6	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	18	0	400002
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	18	0	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	18	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	18	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	18	16	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	18	6	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	18	14	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	17	4	400002
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	17	26	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	17	0	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	16	6	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	16	0	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	16	12	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	15	62	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	15	6	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	15	0	400002
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	14	16	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	14	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	14	18	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	14	2	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	13	58	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	13	0	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	12	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	12	10	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	12	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	11	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	11	0	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	11	8	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	10	0	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	10	34	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	10	4	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	9	32	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	9	16	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	9	0	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	8	2	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	8	10	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	7	2	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	7	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	7	6	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	7	6	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	12	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	4	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	6	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	5	14	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	5	2	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	5	14	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	5	58	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	8	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	20	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	6	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	4	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	0	400001
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	16	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	4	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	8	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	4	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	12	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	0	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	2	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	4	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	30	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	18	400002
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	8	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	20	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	66	400002
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	12	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	2	400002
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	0	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	56	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	40	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	32	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	2	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	8	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	10	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	32	400002
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	16	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	4	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	4	50	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	14	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	24	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	24	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	18	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	6	400002
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	8	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	206	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	6	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	10	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	12	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	12	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	4	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	78	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400002
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	2	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	0	0	400002
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	4	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	1	0	400002
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	2	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	16	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	16	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	60	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	4	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	12	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	12	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	14	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	28	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	0	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	18	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	6	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	0	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	0	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	30	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	2	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	0	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	10	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	6	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	44	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	14	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	8	400001
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	42	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	2	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	18	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	4	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	30	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	10	400001
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	108	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	2	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	0	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	74	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	2	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	22	400000
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	2	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	16	400001
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	2	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	10	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	24	400001
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	22	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	4	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	4	400000
2	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	2	400000
3	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	36	400002
4	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	4	400000
0	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	3	12	400000
1	0,00353781928819076	6,00000240000096E-05	30	200	8970000	3000000	2	0	400002
