"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1";"R_0201_0603Metric";1;"10k";;;
2;"C2,C4";"CP_EIA-1608-08_AVX-J";2;"10n";;;
3;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM7171";;;
4;"C3,C1";"CP_EIA-1608-08_AVX-J";2;"2.2u";;;
5;"J3";"TerminalBlock_Altech_AK300-3_P5.00mm";1;"-12V   GND   +12V";;;
6;"J1";"SMA_Amphenol_132134-10_Vertical";1;"Input";;;
7;"R2";"R_0201_0603Metric";1;"1k";;;
8;"J2";"SMA_Amphenol_132134-10_Vertical";1;"Output";;;
